GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0002376	Immune system process	2.064508006553497e-12	2.064508006553497e-12	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000100813,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000110934,ENSG00000111252,ENSG00000117222,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000126351,ENSG00000126368,ENSG00000130876,ENSG00000140575,ENSG00000140577,ENSG00000141736,ENSG00000141738,ENSG00000143669,ENSG00000154822,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000171777,ENSG00000172057,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000186075,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204301,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204420,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204590,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848,ENSG00000250067
GO:0006955	Immune response	2.445299112934584e-11	2.445299112934584e-11	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000108342,ENSG00000108344,ENSG00000110934,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000143669,ENSG00000154822,ENSG00000159840,ENSG00000160791,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172057,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204290,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204463,ENSG00000204472,ENSG00000204475,ENSG00000204482,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204590,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000227507,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0051707	Response to other organism	5.171119012816894e-10	5.171119012816894e-10	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000112773,ENSG00000121053,ENSG00000126368,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0043207	Response to external biotic stimulus	5.310099129521744e-10	5.310099129521744e-10	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000112773,ENSG00000121053,ENSG00000126368,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0006952	Defense response	6.674855618301094e-10	6.674855618301094e-10	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000108344,ENSG00000121053,ENSG00000121807,ENSG00000126368,ENSG00000139610,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204305,ENSG00000204472,ENSG00000204475,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204574,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213088,ENSG00000213654,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848
GO:0044419	Biological process involved in interspecies interaction between organisms	9.067513718929679e-10	9.067513718929679e-10	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000112773,ENSG00000121053,ENSG00000126368,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000198563,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204388,ENSG00000204389,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0009607	Response to biotic stimulus	1.429483901411986e-09	1.429483901411986e-09	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000112773,ENSG00000121053,ENSG00000126368,ENSG00000143669,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000179344,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0098542	Defense response to other organism	5.851089707672841e-09	5.851089707672841e-09	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000092067,ENSG00000099341,ENSG00000108344,ENSG00000121053,ENSG00000143669,ENSG00000159840,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000172232,ENSG00000179344,ENSG00000196126,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000204287,ENSG00000204305,ENSG00000204472,ENSG00000204475,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
GO:0009605	Response to external stimulus	6.899738090257865e-09	6.899738090257865e-09	+1	ENSG00000005381,ENSG00000072694,ENSG00000073605,ENSG00000075785,ENSG00000092067,ENSG00000099341,ENSG00000105810,ENSG00000108342,ENSG00000108344,ENSG00000108443,ENSG00000110934,ENSG00000111252,ENSG00000112773,ENSG00000117691,ENSG00000121053,ENSG00000121807,ENSG00000126368,ENSG00000141736,ENSG00000141738,ENSG00000143669,ENSG00000146904,ENSG00000159840,ENSG00000160791,ENSG00000161405,ENSG00000163464,ENSG00000163545,ENSG00000163823,ENSG00000164816,ENSG00000164821,ENSG00000164822,ENSG00000164825,ENSG00000166278,ENSG00000167419,ENSG00000167914,ENSG00000171777,ENSG00000172215,ENSG00000172232,ENSG00000173578,ENSG00000173585,ENSG00000173991,ENSG00000179344,ENSG00000179921,ENSG00000180871,ENSG00000183625,ENSG00000184144,ENSG00000196126,ENSG00000196415,ENSG00000196735,ENSG00000197561,ENSG00000197766,ENSG00000198502,ENSG00000203747,ENSG00000204287,ENSG00000204305,ENSG00000204308,ENSG00000204371,ENSG00000204472,ENSG00000204475,ENSG00000204498,ENSG00000204516,ENSG00000204525,ENSG00000204544,ENSG00000204599,ENSG00000204610,ENSG00000204613,ENSG00000204614,ENSG00000204616,ENSG00000204618,ENSG00000206047,ENSG00000213654,ENSG00000213760,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234127,ENSG00000234745,ENSG00000237541,ENSG00000239839,ENSG00000240247,ENSG00000242252,ENSG00000243649,ENSG00000244255,ENSG00000244731,ENSG00000245848
GO:0002252	Immune effector process	8.80943785392684e-08	8.80943785392684e-08	+1	ENSG00000005381,ENSG00000072694,ENSG00000075785,ENSG00000108344,ENSG00000110934,ENSG00000118513,ENSG00000121053,ENSG00000121807,ENSG00000140575,ENSG00000143669,ENSG00000154822,ENSG00000162747,ENSG00000163464,ENSG00000163466,ENSG00000164821,ENSG00000166278,ENSG00000172057,ENSG00000172232,ENSG00000179344,ENSG00000180871,ENSG00000186075,ENSG00000196126,ENSG00000196415,ENSG00000197561,ENSG00000197766,ENSG00000203747,ENSG00000204287,ENSG00000204305,ENSG00000204386,ENSG00000204388,ENSG00000204389,ENSG00000204435,ENSG00000204475,ENSG00000204525,ENSG00000204590,ENSG00000206047,ENSG00000224389,ENSG00000226979,ENSG00000232810,ENSG00000234745,ENSG00000240247,ENSG00000243649,ENSG00000244255,ENSG00000244731
