precision,recall,terms,label,tool,tissue,size
0.9818181818181818,0.30857142857142855,55,BEHST(3D-best parameters),1,limb,5.007333185232471
0.9791666666666666,0.26857142857142857,48,BEHST(3D-worst parameters),1,limb,4.871201010907891
0.6422018348623854,0.4,109,BEHST(3D+linear),1,limb,5.6913478822291435
0.3888888888888889,0.04,18,BEHST(linear),1,limb,3.8903717578961645
0.4043321299638989,0.64,277,GREAT,4,limb,6.6240175061873385
0.4560260586319218,0.8,307,GREAT-gP,5,limb,6.726847747587197
0.14760914760914762,0.4057142857142857,481,ChIP-Enrich,2,limb,7.175867270105761
0.6712328767123288,0.28,73,ChIP-Enrich-gP,3,limb,5.290459441148391
1.0,0.12890625,33,BEHST(3D-best parameters),1,forebrain,4.49650756146648
0.9791666666666666,0.18359375,48,BEHST(3D-worst parameters),1,forebrain,4.871201010907891
0.8176100628930818,0.5078125,159,BEHST(3D+linear),1,forebrain,6.0689042022202315
0.8658536585365854,0.5546875,164,BEHST(linear),1,forebrain,6.099866427824199
0.7151162790697675,0.48046875,172,GREAT,4,forebrain,6.147494476813453
0.8372093023255814,0.5625,172,GREAT-gP,5,forebrain,6.147494476813453
0.22442748091603054,0.57421875,655,ChIP-Enrich,2,forebrain,7.484635235635252
0.7636363636363637,0.8203125,275,ChIP-Enrich-gP,3,forebrain,6.616771097666572
0.7878787878787878,0.2653061224489796,33,BEHST(3D-best parameters),1,midbrain,4.49650756146648
0.5869565217391305,0.2755102040816326,46,BEHST(3D-worst parameters),1,midbrain,4.828641396489095
0.3827751196172249,0.8163265306122449,209,BEHST(3D+linear),1,midbrain,6.342334251964811
0.40816326530612246,0.8163265306122449,196,BEHST(linear),1,midbrain,6.278114659230517
0.24083769633507854,0.9387755102040817,382,GREAT,4,midbrain,6.945420608606575
0.2804878048780488,0.9387755102040817,328,GREAT-gP,5,midbrain,6.793013608384144
0.07467532467532467,0.46938775510204084,616,ChIP-Enrich,2,midbrain,7.423246963533519
0.3650190114068441,0.9795918367346939,263,ChIP-Enrich-gP,3,midbrain,6.572154032177765
0.09210526315789473,0.7777777777777778,76,BEHST(3D-best parameters),1,hindbrain,5.330733340286331
0.15384615384615385,0.2222222222222222,13,BEHST(3D-worst parameters),1,hindbrain,3.5649493574615367
0.028901734104046242,0.5555555555555556,173,BEHST(3D+linear),1,hindbrain,6.153291594497779
0.029069767441860465,0.5555555555555556,172,BEHST(linear),1,hindbrain,6.147494476813453
0.024096385542168676,0.8888888888888888,332,GREAT,4,hindbrain,6.805134968916488
0.023054755043227664,0.8888888888888888,347,GREAT-gP,5,hindbrain,6.849324779946859
0.015817223198594025,1.0,569,ChIP-Enrich,2,hindbrain,7.343880434126331
0.03333333333333333,0.8888888888888888,240,ChIP-Enrich-gP,3,hindbrain,6.480638923341991
0.0,0.0,3,BEHST(3D-best parameters),1,heart,2.09861228866811
0.0,0.0,1,BEHST(3D-worst parameters),1,heart,1.0
0.0,0.0,2,BEHST(3D+linear),1,heart,1.6931471805599454
0.0,0.0,4,BEHST(linear),1,heart,2.386294361119891
0.2097902097902098,0.0872093023255814,143,GREAT,4,heart,5.962844630259907
0.05194805194805195,0.011627906976744186,77,GREAT-gP,5,heart,5.343805421853684
0.13071895424836602,0.23255813953488372,612,ChIP-Enrich,2,heart,7.416732282512326
0.05,0.0029069767441860465,20,ChIP-Enrich-gP,3,heart,3.995732273553991
