p_value	term_id	source	term_name
2.28295325032063e-07	GO:0071470	GO:BP	cellular response to osmotic stress
1.57377768597222e-06	GO:0009952	GO:BP	anterior/posterior pattern specification
2.79045272202108e-06	GO:0055075	GO:BP	potassium ion homeostasis
3.951000734921691e-06	GO:0021532	GO:BP	neural tube patterning
1.20191031725855e-05	GO:0035295	GO:BP	tube development
1.37813911271439e-05	GO:1902188	GO:BP	positive regulation of viral release from host cell
1.58789750471659e-05	GO:0006970	GO:BP	response to osmotic stress
1.6478759229037197e-05	GO:0090596	GO:BP	sensory organ morphogenesis
1.7222851895482002e-05	GO:0048568	GO:BP	embryonic organ development
2.68206359704655e-05	GO:0086009	GO:BP	membrane repolarization
2.84850386707417e-05	GO:0002520	GO:BP	immune system development
3.7932198968609494e-05	GO:0048562	GO:BP	embryonic organ morphogenesis
4.8419994384865e-05	GO:0048534	GO:BP	hematopoietic or lymphoid organ development
5.3818744335527396e-05	GO:0010558	GO:BP	negative regulation of macromolecule biosynthetic process
6.49360345207177e-05	GO:0061180	GO:BP	mammary gland epithelium development
6.867989446846949e-05	GO:1903507	GO:BP	negative regulation of nucleic acid-templated transcription
7.505850563095591e-05	GO:1902679	GO:BP	negative regulation of RNA biosynthetic process
7.650737919258871e-05	GO:0003002	GO:BP	regionalization
7.91925022093754e-05	GO:0010971	GO:BP	positive regulation of G2/M transition of mitotic cell cycle
7.96274108660472e-05	GO:1902751	GO:BP	positive regulation of cell cycle G2/M phase transition
8.541572064429399e-05	GO:0031327	GO:BP	negative regulation of cellular biosynthetic process
9.0237971714546e-05	GO:0050673	GO:BP	epithelial cell proliferation
9.10714526556292e-05	GO:0048598	GO:BP	embryonic morphogenesis
9.508306100939621e-05	GO:0035136	GO:BP	forelimb morphogenesis
0.000103367513950817	GO:0007507	GO:BP	heart development
0.00010414667071474	GO:0009890	GO:BP	negative regulation of biosynthetic process
0.000120895853291979	GO:0010629	GO:BP	negative regulation of gene expression
0.00013770305134905902	GO:0045892	GO:BP	negative regulation of transcription, DNA-templated
0.000144297472423899	GO:0051172	GO:BP	negative regulation of nitrogen compound metabolic process
0.000153746041149729	GO:1902186	GO:BP	regulation of viral release from host cell
0.00015880133972340902	GO:0051253	GO:BP	negative regulation of RNA metabolic process
0.00016291403650136598	GO:0042693	GO:BP	muscle cell fate commitment
0.00016814044070891202	GO:0051254	GO:BP	positive regulation of RNA metabolic process
0.00019516208114182901	GO:2000113	GO:BP	negative regulation of cellular macromolecule biosynthetic process
0.00020339613751166002	GO:0021915	GO:BP	neural tube development
0.000219203355071637	GO:0019076	GO:BP	viral release from host cell
0.000219203355071637	GO:0035890	GO:BP	exit from host
0.000219203355071637	GO:0035891	GO:BP	exit from host cell
0.000219203355071637	GO:0052126	GO:BP	movement in host environment
0.000219203355071637	GO:0052192	GO:BP	movement in environment of other organism involved in symbiotic interaction
0.00022567384973105	GO:0046579	GO:BP	positive regulation of Ras protein signal transduction
0.0002259808495733	GO:0008171	GO:MF	O-methyltransferase activity
0.000228524484957173	GO:0043565	GO:MF	sequence-specific DNA binding
0.000243190617067463	GO:0050678	GO:BP	regulation of epithelial cell proliferation
0.000253240062063895	GO:0045934	GO:BP	negative regulation of nucleobase-containing compound metabolic process
0.000255000361938425	GO:0048641	GO:BP	regulation of skeletal muscle tissue development
0.000257020740962198	GO:0003700	GO:MF	transcription factor activity, sequence-specific DNA binding
0.000273347920279285	GO:0001071	GO:MF	nucleic acid binding transcription factor activity
0.000295263496319091	GO:0019904	GO:MF	protein domain specific binding
0.000319720273607111	GO:0021545	GO:BP	cranial nerve development
0.000329092577877879	GO:0048741	GO:BP	skeletal muscle fiber development
0.000330132527507539	GO:0035115	GO:BP	embryonic forelimb morphogenesis
0.000333719255247758	GO:0035107	GO:BP	appendage morphogenesis
0.000333719255247758	GO:0035108	GO:BP	limb morphogenesis
0.000348229457185345	GO:0030165	GO:MF	PDZ domain binding
0.00036783327136592	GO:0050679	GO:BP	positive regulation of epithelial cell proliferation
0.000372163349464232	GO:0009790	GO:BP	embryo development
0.00043243300042997	GO:0030857	GO:BP	negative regulation of epithelial cell differentiation
0.00046885225316923494	GO:0060236	GO:BP	regulation of mitotic spindle organization
0.0004913201219607639	GO:0045935	GO:BP	positive regulation of nucleobase-containing compound metabolic process
0.00050240470752162	GO:0097094	GO:BP	craniofacial suture morphogenesis
0.000504622339431958	GO:1900151	GO:BP	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
0.000504622339431958	GO:1900153	GO:BP	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
0.000573911661226179	GO:0045893	GO:BP	positive regulation of transcription, DNA-templated
0.000573911661226179	GO:1903508	GO:BP	positive regulation of nucleic acid-templated transcription
0.000573936309586633	GO:0051173	GO:BP	positive regulation of nitrogen compound metabolic process
0.0005904924740789839	GO:0010830	GO:BP	regulation of myotube differentiation
0.000593749138719791	GO:0048643	GO:BP	positive regulation of skeletal muscle tissue development
0.0006036361420313509	GO:0007389	GO:BP	pattern specification process
0.0006041970929531019	GO:0007368	GO:BP	determination of left/right symmetry
0.000650322726067081	GO:0051057	GO:BP	positive regulation of small GTPase mediated signal transduction
0.00067114092806583	GO:1904888	GO:BP	cranial skeletal system development
0.000672012966446476	GO:0055067	GO:BP	monovalent inorganic cation homeostasis
0.000695099476422625	GO:1902680	GO:BP	positive regulation of RNA biosynthetic process
0.000712204988849883	GO:0007220	GO:BP	Notch receptor processing
0.00073514360278385	GO:0048736	GO:BP	appendage development
0.00073514360278385	GO:0060173	GO:BP	limb development
0.000825774192911615	GO:0030326	GO:BP	embryonic limb morphogenesis
0.000825774192911615	GO:0035113	GO:BP	embryonic appendage morphogenesis
0.00085758915743178	GO:0046718	GO:BP	viral entry into host cell
0.0008850474405896801	GO:0044090	GO:BP	positive regulation of vacuole organization
0.00088770328472287	GO:0009954	GO:BP	proximal/distal pattern formation
0.000897375535272809	GO:0030097	GO:BP	hemopoiesis
0.0009217824737521211	GO:0030004	GO:BP	cellular monovalent inorganic cation homeostasis
0.0009421121637436211	GO:0090169	GO:BP	regulation of spindle assembly
0.0009474203786447779	GO:0071364	GO:BP	cellular response to epidermal growth factor stimulus
0.0009538863876302919	GO:0031579	GO:BP	membrane raft organization
0.000956738553514618	GO:0003351	GO:BP	epithelial cilium movement
0.000997612991341265	GO:0021904	GO:BP	dorsal/ventral neural tube patterning
0.00100706764761405	GO:0010831	GO:BP	positive regulation of myotube differentiation
0.00103500951242079	GO:0010557	GO:BP	positive regulation of macromolecule biosynthetic process
0.00112168432668294	GO:0009855	GO:BP	determination of bilateral symmetry
0.00112733763698303	GO:0043588	GO:BP	skin development
0.0011362716567366801	GO:0061099	GO:BP	negative regulation of protein tyrosine kinase activity
0.00114138062910882	GO:0051402	GO:BP	neuron apoptotic process
0.00114302376374769	GO:0045599	GO:BP	negative regulation of fat cell differentiation
0.0012114656588486	GO:0007351	GO:BP	tripartite regional subdivision
0.0012114656588486	GO:0008595	GO:BP	anterior/posterior axis specification, embryo
0.0012345698599823699	GO:0009799	GO:BP	specification of symmetry
0.00125301686201718	GO:0061014	GO:BP	positive regulation of mRNA catabolic process
0.00125545584808293	GO:0006357	GO:BP	regulation of transcription from RNA polymerase II promoter
0.0012971734997292699	GO:0042471	GO:BP	ear morphogenesis
0.00132551363856276	GO:0035909	GO:BP	aorta morphogenesis
0.0013328331673815401	GO:0042733	GO:BP	embryonic digit morphogenesis
0.00137607547199081	GO:0045787	GO:BP	positive regulation of cell cycle
0.0013980965808232599	GO:0001919	GO:BP	regulation of receptor recycling
0.00143601454844321	GO:0070849	GO:BP	response to epidermal growth factor
0.00145644880184262	GO:0014904	GO:BP	myotube cell development
0.00150053735147755	GO:0007423	GO:BP	sensory organ development
0.00155039045706654	GO:0060021	GO:BP	palate development
0.00155042290102315	GO:0048538	GO:BP	thymus development
0.00157604935944353	GO:0060840	GO:BP	artery development
0.00162253225313184	GO:2000678	GO:BP	negative regulation of transcription regulatory region DNA binding
0.0016316028569495	GO:0086011	GO:BP	membrane repolarization during action potential
0.00167447018125867	GO:0030879	GO:BP	mammary gland development
0.00173104679188769	GO:0009070	GO:BP	serine family amino acid biosynthetic process
0.0017679537738721802	GO:0042813	GO:MF	Wnt-activated receptor activity
0.0018476923872772601	GO:0072089	GO:BP	stem cell proliferation
0.0018598641039389997	GO:0090224	GO:BP	regulation of spindle organization
0.00186167668162026	GO:0014902	GO:BP	myotube differentiation
0.0018632451872008199	GO:0021602	GO:BP	cranial nerve morphogenesis
0.00194349819115377	GO:0000975	GO:MF	regulatory region DNA binding
0.00196288331720476	GO:0008649	GO:MF	rRNA methyltransferase activity
0.00198297801349333	GO:0030878	GO:BP	thyroid gland development
0.00201006873069721	GO:0035137	GO:BP	hindlimb morphogenesis
0.00209495674083203	GO:0001067	GO:MF	regulatory region nucleic acid binding
0.00212839521396795	GO:0031328	GO:BP	positive regulation of cellular biosynthetic process
0.002136043599744	GO:0070166	GO:BP	enamel mineralization
0.00214229699297241	GO:0030260	GO:BP	entry into host cell
0.00214229699297241	GO:0044409	GO:BP	entry into host
0.00214229699297241	GO:0051806	GO:BP	entry into cell of other organism involved in symbiotic interaction
0.00214229699297241	GO:0051828	GO:BP	entry into other organism involved in symbiotic interaction
0.00214321941984117	GO:0070997	GO:BP	neuron death
0.00218583969140323	GO:2001014	GO:BP	regulation of skeletal muscle cell differentiation
0.0022030941302937698	GO:0000122	GO:BP	negative regulation of transcription from RNA polymerase II promoter
0.0022516739151157	GO:0072359	GO:BP	circulatory system development
0.0023323209501963397	GO:0048557	GO:BP	embryonic digestive tract morphogenesis
0.00236658523148028	GO:0019058	GO:BP	viral life cycle
0.00237452913279473	GO:0060306	GO:BP	regulation of membrane repolarization
0.00255290428916255	GO:0048844	GO:BP	artery morphogenesis
0.00257622280069767	GO:0072091	GO:BP	regulation of stem cell proliferation
0.00263126802968738	GO:0051701	GO:BP	interaction with host
0.00264164531997924	GO:0060443	GO:BP	mammary gland morphogenesis
0.0026504286708945697	GO:0090068	GO:BP	positive regulation of cell cycle process
0.00265451697081687	GO:0001881	GO:BP	receptor recycling
0.00268896682328355	GO:0009891	GO:BP	positive regulation of biosynthetic process
