p_value	term_id	source	term_name
6.291601e-08	GO:0003677	GO:MF	DNA binding
1.1368980000000001e-07	GO:0019438	GO:BP	aromatic compound biosynthetic process
1.261371e-07	GO:1903507	GO:BP	negative regulation of nucleic acid-templated transcription
1.263501e-07	GO:0009890	GO:BP	negative regulation of biosynthetic process
1.3686e-07	GO:0018130	GO:BP	heterocycle biosynthetic process
1.3829560000000001e-07	GO:2000113	GO:BP	negative regulation of cellular macromolecule biosynthetic process
1.5314129999999998e-07	GO:1902679	GO:BP	negative regulation of RNA biosynthetic process
1.5994779999999999e-07	GO:0031327	GO:BP	negative regulation of cellular biosynthetic process
2.0145499999999997e-07	GO:0034654	GO:BP	nucleobase-containing compound biosynthetic process
2.58825e-07	GO:0010558	GO:BP	negative regulation of macromolecule biosynthetic process
3.217892e-07	GO:0045892	GO:BP	negative regulation of transcription, DNA-templated
3.27044e-07	GO:1901362	GO:BP	organic cyclic compound biosynthetic process
3.4134029999999993e-07	GO:0006355	GO:BP	regulation of transcription, DNA-templated
3.42487e-07	GO:0010629	GO:BP	negative regulation of gene expression
3.514196e-07	GO:0051172	GO:BP	negative regulation of nitrogen compound metabolic process
3.51833e-07	GO:2001141	GO:BP	regulation of RNA biosynthetic process
3.7211320000000003e-07	GO:0035295	GO:BP	tube development
3.755909e-07	GO:1903506	GO:BP	regulation of nucleic acid-templated transcription
3.778222e-07	GO:0051253	GO:BP	negative regulation of RNA metabolic process
3.917479e-07	GO:0044271	GO:BP	cellular nitrogen compound biosynthetic process
4.865336e-07	GO:0097659	GO:BP	nucleic acid-templated transcription
5.064415e-07	GO:0048598	GO:BP	embryonic morphogenesis
5.298639e-07	GO:0006351	GO:BP	transcription, DNA-templated
7.957429e-07	GO:0032774	GO:BP	RNA biosynthetic process
8.375331e-07	GO:0045934	GO:BP	negative regulation of nucleobase-containing compound metabolic process
9.168879e-07	GO:0007507	GO:BP	heart development
1.264962e-06	GO:0010556	GO:BP	regulation of macromolecule biosynthetic process
1.6045670000000002e-06	GO:0051252	GO:BP	regulation of RNA metabolic process
1.661409e-06	GO:2000112	GO:BP	regulation of cellular macromolecule biosynthetic process
1.9392e-06	GO:0010468	GO:BP	regulation of gene expression
3.478571e-06	GO:0006139	GO:BP	nucleobase-containing compound metabolic process
3.551592e-06	GO:0034645	GO:BP	cellular macromolecule biosynthetic process
3.5639370000000003e-06	GO:0003700	GO:MF	transcription factor activity, sequence-specific DNA binding
3.680472e-06	GO:0009059	GO:BP	macromolecule biosynthetic process
4.250962e-06	GO:0048562	GO:BP	embryonic organ morphogenesis
4.566001e-06	GO:0048568	GO:BP	embryonic organ development
5.406467e-06	GO:0021915	GO:BP	neural tube development
5.922761e-06	GO:0031326	GO:BP	regulation of cellular biosynthetic process
7.385696e-06	GO:0009889	GO:BP	regulation of biosynthetic process
9.051553999999999e-06	GO:0009790	GO:BP	embryo development
1.168408e-05	GO:0046483	GO:BP	heterocycle metabolic process
1.629712e-05	GO:0019219	GO:BP	regulation of nucleobase-containing compound metabolic process
1.6716679999999997e-05	GO:0000122	GO:BP	negative regulation of transcription from RNA polymerase II promoter
1.744289e-05	GO:0009887	GO:BP	animal organ morphogenesis
1.756055e-05	GO:0035239	GO:BP	tube morphogenesis
2.107189e-05	GO:0051254	GO:BP	positive regulation of RNA metabolic process
2.417428e-05	GO:0051171	GO:BP	regulation of nitrogen compound metabolic process
2.434051e-05	GO:0006357	GO:BP	regulation of transcription from RNA polymerase II promoter
2.565366e-05	GO:0060562	GO:BP	epithelial tube morphogenesis
2.765067e-05	GO:0006725	GO:BP	cellular aromatic compound metabolic process
4.248936e-05	GO:1901576	GO:BP	organic substance biosynthetic process
4.397402e-05	GO:0034641	GO:BP	cellular nitrogen compound metabolic process
5.032294e-05	GO:0003676	GO:MF	nucleic acid binding
5.219068e-05	GO:0072359	GO:BP	circulatory system development
5.278065e-05	GO:0090304	GO:BP	nucleic acid metabolic process
5.4251149999999996e-05	GO:0044249	GO:BP	cellular biosynthetic process
5.4922609999999996e-05	GO:0043009	GO:BP	chordate embryonic development
5.4974609999999994e-05	GO:0045893	GO:BP	positive regulation of transcription, DNA-templated
5.523464e-05	GO:0050678	GO:BP	regulation of epithelial cell proliferation
5.674042e-05	GO:0006807	GO:BP	nitrogen compound metabolic process
5.814981e-05	GO:0009792	GO:BP	embryo development ending in birth or egg hatching
6.323549e-05	GO:1902680	GO:BP	positive regulation of RNA biosynthetic process
6.946729e-05	GO:0016070	GO:BP	RNA metabolic process
8.117048e-05	GO:0009058	GO:BP	biosynthetic process
