p_value	term_id	source	term_name
3.99305354885829e-30	GO:0048736	GO:BP	appendage development
3.99305354885829e-30	GO:0060173	GO:BP	limb development
3.08398656412449e-26	GO:0035108	GO:BP	limb morphogenesis
3.08398656412449e-26	GO:0035107	GO:BP	appendage morphogenesis
8.95076612779081e-26	GO:0035113	GO:BP	embryonic appendage morphogenesis
8.95076612779081e-26	GO:0030326	GO:BP	embryonic limb morphogenesis
2.10746282783223e-19	GO:0001501	GO:BP	skeletal system development
3.3530464853327e-17	GO:0048598	GO:BP	embryonic morphogenesis
2.4591056271921798e-14	GO:0043565	GO:MF	sequence-specific DNA binding
3.67412843575038e-14	GO:0009653	GO:BP	anatomical structure morphogenesis
5.0404769518680095e-14	GO:0048705	GO:BP	skeletal system morphogenesis
1.77581910389409e-13	GO:0009887	GO:BP	animal organ morphogenesis
6.35186823507735e-13	GO:0048513	GO:BP	animal organ development
1.55424747416495e-12	GO:0009954	GO:BP	proximal/distal pattern formation
2.12632839344125e-12	GO:0009790	GO:BP	embryo development
2.1777858728592402e-12	GO:0007275	GO:BP	multicellular organism development
3.29299017699857e-12	GO:0000981	GO:MF	DNA-binding transcription factor activity, RNA polymerase II-specific
5.307557696974981e-12	GO:0001228	GO:MF	DNA-binding transcription activator activity, RNA polymerase II-specific
5.9479914013570496e-12	GO:0035136	GO:BP	forelimb morphogenesis
6.19223406816484e-12	GO:0001216	GO:MF	DNA-binding transcription activator activity
1.9241677345224396e-11	GO:0007389	GO:BP	pattern specification process
2.1092786632612802e-11	GO:0048856	GO:BP	anatomical structure development
3.38712405609685e-11	GO:0003700	GO:MF	DNA-binding transcription factor activity
7.881669526622909e-11	GO:0009888	GO:BP	tissue development
1.32458582818864e-10	GO:0003677	GO:MF	DNA binding
1.76579662731365e-10	GO:0000977	GO:MF	RNA polymerase II regulatory region sequence-specific DNA binding
2.02172646725694e-10	GO:0001012	GO:MF	RNA polymerase II regulatory region DNA binding
3.51568579275403e-10	GO:0048706	GO:BP	embryonic skeletal system development
5.45183560800879e-10	GO:0048731	GO:BP	system development
5.50926102999161e-10	GO:0000976	GO:MF	transcription regulatory region sequence-specific DNA binding
7.023103075027771e-10	GO:0048704	GO:BP	embryonic skeletal system morphogenesis
8.19427770039312e-10	GO:0032502	GO:BP	developmental process
1.18297948317405e-09	GO:1990837	GO:MF	sequence-specific double-stranded DNA binding
3.6306442383761295e-09	GO:0003002	GO:BP	regionalization
4.41498574448118e-09	GO:0044212	GO:MF	transcription regulatory region DNA binding
4.6678242873028e-09	GO:0001067	GO:MF	regulatory region nucleic acid binding
5.92860455260087e-09	GO:0003690	GO:MF	double-stranded DNA binding
1.01395658891028e-08	GO:0035115	GO:BP	embryonic forelimb morphogenesis
1.1655632080333502e-08	GO:0010628	GO:BP	positive regulation of gene expression
1.5578929659628503e-08	GO:0140110	GO:MF	transcription regulator activity
5.46465369676576e-08	GO:0045165	GO:BP	cell fate commitment
5.5099078336052e-08	GO:0035137	GO:BP	hindlimb morphogenesis
6.13801961374253e-08	GO:0010468	GO:BP	regulation of gene expression
7.46834076302142e-08	GO:0009952	GO:BP	anterior/posterior pattern specification
1.0664944807130301e-07	GO:0006355	GO:BP	regulation of transcription, DNA-templated
1.6357131446227602e-07	GO:1903506	GO:BP	regulation of nucleic acid-templated transcription
1.6888018042427402e-07	GO:2001141	GO:BP	regulation of RNA biosynthetic process
1.8163794307236603e-07	GO:0032501	GO:BP	multicellular organismal process
2.00275936184958e-07	GO:0061061	GO:BP	muscle structure development
2.56723833087819e-07	GO:0006351	GO:BP	transcription, DNA-templated
2.7071608681786105e-07	GO:0007517	GO:BP	muscle organ development
2.78787531517099e-07	GO:0000978	GO:MF	RNA polymerase II cis-regulatory region sequence-specific DNA binding
2.80099721633103e-07	GO:0048562	GO:BP	embryonic organ morphogenesis
3.75428827026226e-07	GO:0097659	GO:BP	nucleic acid-templated transcription
4.1479189621080397e-07	GO:0032774	GO:BP	RNA biosynthetic process
4.1548897820252e-07	GO:0045944	GO:BP	positive regulation of transcription by RNA polymerase II
4.7130907369569206e-07	GO:0000987	GO:MF	cis-regulatory region sequence-specific DNA binding
5.30964729686989e-07	GO:0014706	GO:BP	striated muscle tissue development
